"都道府県","学校名","種別","FAX番号","送信状況","備考"
"東京都","桜蔭中学校","私立","03-5684-5889","未送信",""
"東京都","渋谷教育学園渋谷中学校","私立","03-3486-1033","未送信",""
"東京都","早稲田中学校","私立","03-3202-7692","未送信",""
"東京都","慶應義塾中等部","私立","03-5427-1676","未送信",""
"東京都","豊島岡女子学園中学校","私立","03-3983-5628","未送信",""
"東京都","青山学院中等部","私立","03-3409-5784","未送信",""
"東京都","東京都立小石川中等教育学校","公立","03-3946-7397","未送信",""
"東京都","東京都立桜修館中等教育学校","公立","03-3724-7041","未送信",""
"東京都","東京都立武蔵高等学校附属中学校","公立","0422-51-3966","未送信",""
"茨城県","土浦第一高等学校","公立","029-826-3521","未送信",""
"茨城県","清真学園高等学校","私立","0299-83-6414","未送信",""
"茨城県","開智望高等学校","私立","0297-38-8857","未送信",""
"茨城県","茨城高等学校","私立","029-221-4923","未送信",""
"千葉県","千葉高等学校","公立","043-221-4014","未送信",""
"千葉県","船橋高等学校","公立","047-426-0422","未送信",""
"千葉県","東葛飾高等学校","公立","04-7147-9611","未送信",""
"千葉県","佐倉高等学校","公立","043-486-0903","未送信",""
"千葉県","千葉東高等学校","公立","043-255-6575","未送信",""
"千葉県","薬園台高等学校","公立","047-463-4039","未送信",""
"千葉県","柏高等学校","公立","04-7134-9557","未送信",""
"千葉県","木更津高等学校","公立","0438-22-0376","未送信",""
"千葉県","船橋東高等学校","公立","047-463-4082","未送信",""
"千葉県","小金高等学校","公立","047-349-2030","未送信",""
"千葉県","国府台高等学校","公立","047-373-7902","未送信",""
"千葉県","袖ヶ浦高等学校","公立","0438-62-5916","未送信",""
"千葉県","市立習志野高等学校","公立","047-471-4581","未送信",""
"千葉県","市川昴高等学校","公立","047-373-2360","未送信",""
"千葉県","検見川高等学校","公立","043-278-4733","未送信",""
"千葉県","東金高等学校","公立","0475-55-4045","未送信",""
"千葉県","市立船橋高等学校","公立","047-422-9129","未送信",""
"千葉県","柏中央高等学校","公立","04-7133-3641","未送信",""
"千葉県","松戸高等学校","公立","047-346-4002","未送信",""
"千葉県","鎌ヶ谷高等学校","公立","047-445-9366","未送信",""
"千葉県","流山おおたかの森高等学校","公立","04-7155-6991","未送信",""
"千葉県","幕張総合高等学校","公立","043-211-6317","未送信",""
"千葉県","渋谷教育学園幕張高等学校","私立","043-271-7221","未送信",""
"千葉県","市川高等学校","私立","047-337-6288","未送信",""
"千葉県","東邦大学付属東邦高等学校","私立","047-475-1355","未送信",""
"千葉県","専修大学松戸高等学校","私立","047-362-9104","未送信",""
"千葉県","芝浦工業大学柏高等学校","私立","04-7176-1741","未送信",""
"千葉県","千葉日本大学第一高等学校","私立","047-468-0646","未送信",""
"千葉県","麗澤高等学校","私立","04-7173-3716","未送信",""
"千葉県","千葉英和高等学校","私立","047-487-5466","未送信",""
"千葉県","拓殖大学紅陵高等学校","私立","0438-36-7286","未送信",""
"千葉県","昭和学院秀英高等学校","私立","043-272-4732","未送信",""
"千葉県","日本大学習志野高等学校","私立","047-469-5540","未送信",""
"千葉県","西武台千葉高等学校","私立","04-7127-1138","未送信",""
"千葉県","流通経済大学付属柏高等学校","私立","04-7131-4553","未送信",""
"千葉県","千葉明徳高等学校","私立","043-265-3708","未送信",""
"千葉県","二松學舎大学附属柏高等学校","私立","04-7191-6712","未送信",""
"千葉県","渋谷教育学園幕張中学校","私立","043-271-7221","未送信",""
"千葉県","市川中学校","私立","047-337-6288","未送信",""
"千葉県","東邦大学付属東邦中学校","私立","047-475-1355","未送信",""
"千葉県","専修大学松戸中学校","私立","047-362-9104","未送信",""
"千葉県","昭和学院秀英中学校","私立","043-272-4732","未送信",""
"千葉県","千葉県立千葉中学校","公立","043-221-4014","未送信",""
"千葉県","千葉県立東葛飾中学校","公立","04-7147-9611","未送信",""
"東京都","攻玉社高等学校","私立","03-3495-4004","未送信",""
"東京都","攻玉社中学校","私立","03-3495-4004","未送信",""
"東京都","世田谷学園高等学校","私立","03-3487-9113","未送信",""
"東京都","世田谷学園中学校","私立","03-3487-9113","未送信",""
"東京都","頌栄女子学院高等学校","私立","03-3441-4043","未送信",""
"東京都","頌栄女子学院中学校","私立","03-3441-4043","未送信",""
"東京都","成城学園高等学校","私立","03-3482-5100","未送信",""
"東京都","光塩女子学院高等部","私立","03-5377-1977","未送信",""
"東京都","山脇学園高等学校","私立","03-3585-3914","未送信",""
"東京都","品川女子学院高等部","私立","03-3471-4076","未送信",""
"東京都","共立女子高等学校","私立","03-3237-2782","未送信",""
"東京都","共立女子第二高等学校","私立","042-661-9953","未送信",""
"東京都","共栄学園高等学校","私立","03-3604-1450","未送信",""
"東京都","共栄学園中学校","私立","03-3604-1450","未送信",""
"東京都","和洋九段女子高等学校","私立","03-3262-4160","未送信",""
"東京都","国士館高等学校","私立","03-5481-3149","未送信",""
"東京都","国学院大学久我山高等学校","私立","03-3335-1233","未送信",""
"東京都","大妻多摩高等学校","私立","042-372-9986","未送信",""
"東京都","安田学園高等学校","私立","03-3624-2643","未送信",""
"東京都","宝仙学園高等学校","私立","03-3365-2126","未送信",""
"東京都","実践女子学園高等学校","私立","03-3409-1728","未送信",""
"東京都","実践女子学園中学校","私立","03-3409-1728","未送信",""
"東京都","恵泉女学園高等学校","私立","03-3303-9644","未送信",""
"東京都","恵泉女学園中学校","私立","03-3303-9644","未送信",""
"東京都","杉並学院高等学校","私立","03-3316-3310","未送信",""
"東京都","跡見学園高等学校","私立","03-3941-8685","未送信",""
"東京都","晃華学園高等学校","私立","042-483-1731","未送信",""
"東京都","晃華学園中学校","私立","042-483-1731","未送信",""
"東京都","香蘭女学校高等科","私立","03-3786-1238","未送信",""
"東京都","自由ヶ丘学園高等学校","私立","03-3718-5943","未送信",""
"東京都","昭和女子大学附属昭和高等学校","私立","03-3411-5532","未送信",""
"東京都","昭和女子大学附属昭和中学校","私立","03-3411-5532","未送信",""
"東京都","明治大学付属中野八王子高等学校","私立","042-691-0988","未送信",""
"東京都","明治大学付属明治中学校","私立","042-498-7800","未送信",""
"東京都","日本大学鶴ヶ丘高等学校","私立","03-3325-0203","未送信",""
"東京都","日本大学第二高等学校","私立","03-3398-1915","未送信",""
"東京都","帝京大学系属帝京高等学校","私立","042-676-0241","未送信",""
"東京都","帝京大学高等学校","私立","042-676-0241","未送信",""
"東京都","広尾学園小石川高等学校","私立","03-5940-4466","未送信",""
"東京都","広尾学園小石川中学校","私立","03-5940-4466","未送信",""
"東京都","目黒日本大学高等学校","私立","03-5759-7584","未送信",""
"東京都","立正大学付属立正高等学校","私立","03-3775-1356","未送信",""
"東京都","田園調布学園高等部","私立","03-3727-2984","未送信",""
"東京都","武蔵野東高等学校","私立","042-384-8451","未送信",""
"東京都","東海大学菅生高等学校","私立","042-559-0577","未送信",""
"東京都","工学院大学附属中学校","私立","042-623-1376","未送信",""
"東京都","駒澤大学附属高等学校","私立","03-3707-5689","未送信",""
"千葉県","八千代松陰高等学校","私立","047-485-8864","未送信",""
"千葉県","八千代松陰中学校","私立","047-485-8864","未送信",""
"千葉県","千葉黎明高等学校","私立","043-443-3443","未送信",""
"千葉県","東海大学付属市原望洋高等学校","私立","0436-74-5266","未送信",""
"千葉県","流通経済大学付属柏中学校","私立","04-7131-4553","未送信",""
"千葉県","芝浦工業大学柏中学校","私立","04-7176-1741","未送信",""
"千葉県","聖徳大学附属女子高等学校","私立","047-392-8116","未送信",""
"千葉県","聖徳大学附属女子中学校","私立","047-392-8116","未送信",""
"茨城県","茨城キリスト教学院高等学校","私立","0294-53-9927","未送信",""
"茨城県","茨城キリスト教学院中学校","私立","0294-53-9927","未送信",""
"茨城県","霞ヶ浦高等学校","私立","029-887-9380","未送信",""
"茨城県","つくば秀英高等学校","私立","029-847-3111","未送信",""
"茨城県","鹿島学園高等学校","私立","0299-83-3219","未送信",""
"埼玉県","東京農業大学第三高等学校","私立","0493-24-4696","未送信",""
"神奈川県","法政大学国際高等学校","私立","045-581-9991","未送信",""
